date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:25	196322/196322	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Dec%202021%2022:46:25%20GMT	https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/	C:/My%20Web%20Sites/Homem%20Aranha/querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/index.html	(from )
19:46:26	69/69	---M-Z	200	added ('OK')	text/plain	date:Mon,%2027%20Dec%202021%2022:46:25%20GMT	https://querofilmehd.net/robots.txt		(from )
19:46:26	93407/93407	---M--	200	added ('OK')	image/png	etag:%2260e74c88-16cdf%22	https://querofilmehd.net/wp-content/uploads/2021/07/icon.png	C:/My%20Web%20Sites/Homem%20Aranha/querofilmehd.net/wp-content/uploads/2021/07/icon.png	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:27	511/511	---M--	200	added ('OK')	image/png	etag:%2260e74c89-1ff%22	https://querofilmehd.net/wp-content/uploads/2021/07/jogar.png	C:/My%20Web%20Sites/Homem%20Aranha/querofilmehd.net/wp-content/uploads/2021/07/jogar.png	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Dec%202021%2022:46:27%20GMT	http://querofilmehd.net/wp-content/cache/wpfc-minified/q35xgln/bnn70.css	C:/My%20Web%20Sites/Homem%20Aranha/querofilmehd.net/wp-content/cache/wpfc-minified/q35xgln/bnn70.2.delayed	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:27	258786/258786	---MCZ	200	added ('OK')	text/css	etag:W/%2261c9fe34-3f2e2%22	https://querofilmehd.net/wp-content/cache/wpfc-minified/q35xgln/bnn70.css	C:/My%20Web%20Sites/Homem%20Aranha/querofilmehd.net/wp-content/cache/wpfc-minified/q35xgln/bnn70.css	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Dec%202021%2022:46:27%20GMT	http://querofilmehd.net/wp-content/cache/wpfc-minified/97ryus2f/bnn70.css	C:/My%20Web%20Sites/Homem%20Aranha/querofilmehd.net/wp-content/cache/wpfc-minified/97ryus2f/bnn70.css	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Dec%202021%2022:46:29%20GMT	http://querofilmehd.net/wp-content/cache/wpfc-minified/jmdbg9hx/bnn70.js	C:/My%20Web%20Sites/Homem%20Aranha/querofilmehd.net/wp-content/cache/wpfc-minified/jmdbg9hx/bnn70.js	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:30	158257/158257	---MCZ	200	added ('OK')	text/css	etag:W/%2261c9fe34-26a31%22	https://querofilmehd.net/wp-content/cache/wpfc-minified/97ryus2f/bnn70.css	C:/My%20Web%20Sites/Homem%20Aranha/querofilmehd.net/wp-content/cache/wpfc-minified/97ryus2f/bnn70.css	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Dec%202021%2022:46:30%20GMT	http://querofilmehd.net/wp-content/cache/wpfc-minified/1bq4j8c8/bnn70.js	C:/My%20Web%20Sites/Homem%20Aranha/querofilmehd.net/wp-content/cache/wpfc-minified/1bq4j8c8/bnn70.js	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
